1,The Cadets,6/22/2013,"Bowling Green, OH",30.7,22.15,22.75,75.6,0,75.6
2,The Cavaliers,6/22/2013,"Bowling Green, OH",26.3,20.95,20.95,68.2,0,68.2
3,Boston Crusaders,6/22/2013,"Bowling Green, OH",27.6,20.45,21.45,69.5,0,69.5
4,Phantom Regiment,6/22/2013,"Bowling Green, OH",29.8,21.9,22.2,73.9,0,73.9
5,Carolina Crown,6/22/2013,"Sacramento, CA",31,22.6,22.9,76.5,0,76.5
6,Troopers,6/22/2013,"Bowling Green, OH",23.5,18.8,19.2,61.5,0,61.5
7,Mandarins,6/22/2013,"Sacramento, CA",25.3,17.05,18.9,61.25,0,61.25
8,Pacific Crest,6/22/2013,"Sacramento, CA",25.8,18.2,19.65,63.65,0,63.65
9,Blue Knights,6/22/2013,"Sacramento, CA",28.5,20.25,20.85,69.85,0,69.85
10,Blue Stars,6/22/2013,"Bowling Green, OH",25.1,19.9,20.15,65.15,0,65.15
11,Crossmen,6/22/2013,"Bowling Green, OH",25.1,19.35,19.75,64.2,0,64.2
12,Spirit of Atlanta,6/22/2013,"Bowling Green, OH",27.4,20.1,20.85,68.35,0,68.35
13,Madison Scouts,6/22/2013,"Bowling Green, OH",27.4,21,21.75,70.15,0,70.15
14,Santa Clara Vanguard,6/22/2013,"Sacramento, CA",29.7,21.25,22.6,73.55,0,73.55
15,Blue Devils,6/22/2013,"Sacramento, CA",31.2,22.65,23.05,76.9,0,76.9
16,Carolina Crown,6/27/2013,"Oceanside, CA",31.9,23.35,24.8,80.05,0,80.05
17,Pacific Crest,6/27/2013,"Oceanside, CA",27.9,19.55,21.9,69.35,0,69.35
18,Mandarins,6/27/2013,"Oceanside, CA",27.4,18.55,21,66.95,0,66.95
19,Blue Devils,6/28/2013,"Walnut, CA",32.1,24.1,24.7,80.9,0,80.9
20,Carolina Crown,6/28/2013,"Walnut, CA",32.3,24.2,24.7,81.2,0,81.2
21,Pacific Crest,6/28/2013,"Walnut, CA",28.3,20.15,21.85,70.3,0,70.3
22,Mandarins,6/28/2013,"Walnut, CA",28.2,18.8,20.85,67.85,0,67.85
23,Blue Devils,6/29/2013,"Riverside, CA",32.4,24.3,24.25,80.95,0,80.95
24,Carolina Crown,6/29/2013,"Riverside, CA",33,24.35,24.5,81.85,0,81.85
25,Pacific Crest,6/29/2013,"Riverside, CA",28.5,20.8,21,70.3,0,70.3
26,Mandarins,6/29/2013,"Riverside, CA",28.1,19.4,20.4,67.9,0,67.9
